name_elections;amco;name_hdng
Wouw;10808;WOUW
Baarle-Nassau;10060;BAARLE NASSAU
Breda;10154;BREDA
Chaam;11433;CHAAM
Etten en Leur;10750;ETTEN LEUR
Fijnaart;10206;FIJNAART EN HEIJNINGEN
Ginneken;10406;GINNEKEN EN BAVEL
Klundert;10656;KLUNDERT
Oudenbosch;10397;OUDENBOSCH
Prinsenhage;10762;PRINCENHAGE
Rijsbergen;10866;RIJSBERGEN
Standdaardbuiten;11212;STANDDAARBUITEN
Terheijden;10905;TERHEIJDEN
's-Gravenmoer;10469;'S GRAVENMOER
Dongen;11412;DONGEN
Geertruidenberg;10101;GEERTRUIDENBERG
Made;10258;MADE EN DRIMMELEN
Oosterhout;11280;OOSTERHOUT
Raamsdonk;11391;RAAMSDONK
Standdaarbuiten;11212;STANDDAARBUITEN
Willemstad;10827;WILLEMSTAD
Zevenbergen;10046;ZEVENBERGEN
Zwaluwe (Hooge- en Lage-);11318;HOOGE EN LAGE ZWALUWE
Besoijen;10056;BESOIJEN
Bladel;11006;BLADEL EN NETERSEL
Boxtel;10083;BOXTEL
Capelle;11233;CAPELLE
Cromvoirt;10053;CROMVOIRT
Diessen;11185;DIESSEN
Esch;10709;ESCH
Gilze;11375;GILZE EN RIJEN
Goirle;10971;GOIRLE
Haaren;11155;HAAREN
Helvoirt;10389;HELVOIRT
